legit_token_label PASS expected=clean rc=0
google_api_key PASS expected=detect rc=1
api_key_base64 PASS expected=detect rc=1
access_token PASS expected=detect rc=1
bare_token_hex PASS expected=detect rc=1
password_alnum PASS expected=detect rc=1
password_special PASS expected=detect rc=1
secret_special PASS expected=detect rc=1
api_key_tilde PASS expected=detect rc=1
github_token PASS expected=detect rc=1
jwt PASS expected=detect rc=1
private_key PASS expected=detect rc=1
